% Model,alexmanufacturedsolution.mph
% Version,COMSOL 6.1.0.252
% Date,"Oct 12 2024, 17:12"
% Table,Data - 
% Time (s),Dependent variable u
0,0.19140663281248682
0.01,0.19332066890385566
0.02,0.19523465377057417
0.03,0.19714859751095518
0.04,0.19906253451969605
0.05,0.20097645681471826
0.06,0.2028904564196389
0.07,0.2048045213204842
0.08,0.20671858622132955
0.09,0.20863265112217486
0.1,0.21054671602302016
0.11,0.21246078281665295
0.12,0.21437486059204655
0.13,0.21628893836744015
0.14,0.21820301614283374
0.15,0.22011709391822734
0.16,0.22203117169362094
0.17,0.22394524946901456
0.18,0.22585932724440813
0.19,0.22777340501980176
0.2,0.22968748279519532
0.21,0.23160155848872604
0.22,0.2335156221034995
0.23,0.23542968571827297
0.24,0.23734374933304642
0.25,0.23925781294781986
0.26,0.2411718765625933
0.27,0.2430859401773668
0.28,0.24500000379214024
0.29,0.24691406740691363
0.3,0.2488281310216871
0.31,0.2507421943791808
0.32,0.2526562562439637
0.33,0.25457031810874653
0.34,0.2564843799735294
0.35000000000000003,0.2583984418383123
0.36,0.26031250370309517
0.37,0.262226565567878
0.38,0.26414062743266087
0.39,0.2660546892974437
0.4,0.26796875116222657
0.41000000000000003,0.2698828131036229
0.42,0.27179687548952247
0.43,0.2737109378754221
0.44,0.27562500026132175
0.45,0.27753906264722134
0.46,0.279453125033121
0.47000000000000003,0.28136718741902056
0.48,0.2832812498049202
0.49,0.28519531219081984
0.5,0.2871093745767194
0.51,0.2890234369820541
0.52,0.29093749950014924
0.53,0.29285156201824436
0.54,0.2947656245363394
0.55,0.29667968705443454
0.56,0.29859374957252965
0.5700000000000001,0.3005078120906247
0.58,0.3024218746087198
0.59,0.3043359371268149
0.6,0.30624999964490995
0.61,0.3081640621611691
0.62,0.3100781246667761
0.63,0.31199218717238314
0.64,0.3139062496779902
0.65,0.31582031218359713
0.66,0.3177343746892042
0.67,0.31964843719481123
0.68,0.3215624997004182
0.6900000000000001,0.3234765622060252
0.7000000000000001,0.32539062471163227
0.71,0.3273046872161285
0.72,0.32921874971418036
0.73,0.3311328122122322
0.74,0.33304687471028405
0.75,0.33496093720833586
0.76,0.3368749997063876
0.77,0.3387890622044395
0.78,0.3407031247024913
0.79,0.3426171872005432
0.8,0.344531249698595
0.81,0.34644531219662844
0.8200000000000001,0.3483593746945553
0.8300000000000001,0.3502734371924823
0.84,0.35218749969040913
0.85,0.354101562188336
0.86,0.35601562468626297
0.87,0.3579296871841898
0.88,0.35984374968211674
0.89,0.36175781218004366
0.9,0.3636718746779706
0.91,0.36558593717594917
0.92,0.36749999967422814
0.93,0.3694140621725071
0.9400000000000001,0.3713281246707861
0.9500000000000001,0.373242187169065
0.96,0.37515624966734396
0.97,0.3770703121656229
0.98,0.3789843746639019
0.99,0.3808984371621808
1,0.38281249966045977
